"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"6763","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 01:27:03,FALSE,NA,"964310121483571200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cdgait",5511,TRUE,FALSE,NA,NA
"6764","You'll know my family got the flu if it's 9.30am and they're all still in their beds.",FALSE,0,NA,2018-02-16 01:27:03,FALSE,NA,"964310119403040769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","khaerinabila9",0,FALSE,FALSE,NA,NA
"6765","RT @sergioulloa1: Oigan Minsal, al igual que la obligación de vacunarse contra la Fiebre Amarilla, para quienes viajan a Brasil ¿Quienes vi…",FALSE,0,NA,2018-02-16 01:27:01,FALSE,NA,"964310111794679808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manoslimpia1963",133,TRUE,FALSE,NA,NA
"6766","Flu só ganha de time que nunca vi <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,2,NA,2018-02-16 01:26:59,FALSE,NA,"964310105658417152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Vicctor_Ramos",0,FALSE,FALSE,NA,NA
"6767","RT @sergioulloa1: Oigan Minsal, al igual que la obligación de vacunarse contra la Fiebre Amarilla, para quienes viajan a Brasil ¿Quienes vi…",FALSE,0,NA,2018-02-16 01:26:58,FALSE,NA,"964310100151275520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lizzy_Doolittle",133,TRUE,FALSE,NA,NA
"6768","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 01:26:58,FALSE,NA,"964310099459297280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","phil0fthefutur",5511,TRUE,FALSE,NA,NA
"6769","RT @Mykiaaaa_: <ed><U+00A0><U+00BE><ed><U+00B4><U+0092><ed><U+00A0><U+00BE><ed><U+00B4><U+0092><ed><U+00A0><U+00BE><ed><U+00B4><U+0092><ed><U+00A0><U+00BE><ed><U+00B4><U+0092><ed><U+00A0><U+00BE><ed><U+00B4><U+0092><ed><U+00A0><U+00BD><ed><U+00B8><U+0095> wouldn't wish the flu on anyone <ed><U+00A0><U+00BD><ed><U+00BA><U+00AE> https://t.co/rLD57aeLxb",FALSE,0,NA,2018-02-16 01:26:57,FALSE,NA,"964310097454403584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BeautyOfAnAries",2,TRUE,FALSE,NA,NA
"6770","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 01:26:57,FALSE,NA,"964310097370517504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","calebssadie",5511,TRUE,FALSE,NA,NA
"6771","RT @MisterPreda: Debuting myself to the general public after my 5-day flu quarantine. https://t.co/NJd4uodkQO",FALSE,0,NA,2018-02-16 01:26:56,FALSE,NA,"964310090705666049",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","curlyhairjaniel",88,TRUE,FALSE,NA,NA
"6772","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 01:26:54,FALSE,NA,"964310083499888640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rocioxgomezz",5511,TRUE,FALSE,NA,NA
"6773","Hambar

Seperti saat sedang flu
Hidung tersumbat
Makan pun hanya terasa asin manis /pahit saja dimulut",FALSE,0,NA,2018-02-16 01:26:53,FALSE,NA,"964310080672821248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PEANNNNN90",0,FALSE,FALSE,NA,NA
"6774","RT @ScienceNews: ""If we don’t understand how [viruses] are transmitted, it’s hard to come up with policies that are really going to work.""…",FALSE,0,NA,2018-02-16 01:26:53,FALSE,NA,"964310079011827712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AaronOriah",68,TRUE,FALSE,NA,NA
"6775","RT @WNewton_23: I told Everybody if u come out we gonna show out and dats what we did<ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BE><ed><U+00B4><U+0099><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>. 23 ina flu game<ed><U+00A0><U+00BD><ed><U+00B8><U+00B7><ed><U+00A0><U+00BE><ed><U+00B4><U+00AB><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>. I really appreciate every Mc…",FALSE,0,NA,2018-02-16 01:26:52,FALSE,NA,"964310073567625216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MtZionPrep",21,TRUE,FALSE,NA,NA
